,model,coherence_c_npmi,coherence_c_v,coherence_u_mass,coherence_c_uci,diversity_topic,similarity_rbo,similarity_pjs,dataset
0,model_umap_{'n_neighbors': 3}_hdbscan_{'min_cluster_size': 5}_sentences,0.2068345787181158,0.7612045231834466,-0.44296873905642137,-0.4184362020365329,0.993103448275862,0.000323201970443332,0.00040330711837063924,sentences
1,model_umap_{'n_neighbors': 3}_hdbscan_{'min_cluster_size': 10}_sentences,0.1384382946308894,0.6815179045325246,-0.5560264178790204,-1.3990334015598052,0.9862068965517241,0.0007577955665024616,0.001771670555699594,sentences
2,model_umap_{'n_neighbors': 3}_hdbscan_{'min_cluster_size': 15}_sentences,0.13595991367730786,0.6588523213755836,-0.5285669277705853,-1.4833124017749109,0.993103448275862,0.0003680911330049552,0.00012963443090484831,sentences
3,model_umap_{'n_neighbors': 5}_hdbscan_{'min_cluster_size': 5}_sentences,0.22331054278749604,0.7687538510780455,-0.37582427072308267,-0.01810334686342008,0.993103448275862,0.0003680911330049552,0.0005642910521740457,sentences
4,model_umap_{'n_neighbors': 5}_hdbscan_{'min_cluster_size': 10}_sentences,0.16777686110810214,0.6763222506179963,-0.5370231270625424,-1.076469532235042,1.0,0.0,0.0008750324086077262,sentences
5,model_umap_{'n_neighbors': 5}_hdbscan_{'min_cluster_size': 15}_sentences,0.13058197590883666,0.7090767150997381,-0.4759907170585747,-1.54565565071494,0.9862068965517241,0.0007577955665024616,0.001134301270417423,sentences
6,model_umap_{'n_neighbors': 10}_hdbscan_{'min_cluster_size': 5}_sentences,0.15414865846069145,0.7121651173467416,-0.3756021155807783,-1.1994877176192782,1.0,0.0,0.0002736726874657909,sentences
7,model_umap_{'n_neighbors': 10}_hdbscan_{'min_cluster_size': 10}_sentences,0.1978094469671697,0.7245691146902508,-0.443245017738135,-0.730808752018456,1.0,0.0,0.00038890329271454494,sentences
8,model_umap_{'n_neighbors': 10}_hdbscan_{'min_cluster_size': 15}_sentences,0.16619942754642184,0.6863472848988532,-0.5753139927747533,-0.9842054628298884,0.993103448275862,0.000323201970443332,0.00025926886180969663,sentences
9,model_umap_{'n_components': 3}_hdbscan_{'min_cluster_size': 5}_sentences,0.19238073061152444,0.7698750050594364,-0.36919985896581753,-0.7569202823174358,0.9862068965517241,0.0009800246305419202,0.00025926886180969663,sentences
10,model_umap_{'n_components': 3}_hdbscan_{'min_cluster_size': 10}_sentences,0.09310042719179198,0.6396264166787103,-0.47160803250510286,-2.2741789948605655,1.0,0.0,0.00012963443090484831,sentences
11,model_umap_{'n_components': 3}_hdbscan_{'min_cluster_size': 15}_sentences,0.11632827646896542,0.6805917184762424,-0.5602159685664077,-1.8102097447750163,1.0,0.0,0.0,sentences
12,model_umap_{'n_components': 5}_hdbscan_{'min_cluster_size': 5}_sentences,0.11339673229525933,0.7145377934822317,-0.459119845296986,-2.059400090468939,0.9793103448275862,0.000323201970443332,0.00025926886180969663,sentences
13,model_umap_{'n_components': 5}_hdbscan_{'min_cluster_size': 10}_sentences,0.1386783197311806,0.6499260093902719,-0.5092553280744503,-1.7194997347022196,1.0,0.0,0.00012963443090484831,sentences
14,model_umap_{'n_components': 5}_hdbscan_{'min_cluster_size': 15}_sentences,0.16149537519638163,0.7094052069756188,-0.5629451407688377,-1.4123620513927448,1.0,0.0,0.0,sentences
15,model_umap_{'n_components': 10}_hdbscan_{'min_cluster_size': 5}_sentences,0.1408303435824995,0.649206348016224,-0.5752947914885118,-1.5893881716194393,1.0,0.0,0.0002736726874657909,sentences
16,model_umap_{'n_components': 10}_hdbscan_{'min_cluster_size': 10}_sentences,0.14667061554124788,0.6802192969509636,-0.4474044005740229,-1.4160570063455205,1.0,0.0,0.00012963443090484831,sentences
17,model_umap_{'n_components': 10}_hdbscan_{'min_cluster_size': 15}_sentences,0.22532131534385405,0.7806867398817755,-0.45404575436928296,-0.19576626229331795,1.0,0.0,0.00012963443090484831,sentences
